fname,strain,infected
Op_803_1_1.fq.gz,g,uninf
Op_803_2_1.fq.gz,g,uninf
Op_803_3_1.fq.gz,g,uninf
Op_803_4_1.fq.gz,g,uninf
Op_803_5_1.fq.gz,g,uninf
Op_n2_1_1.fq.gz,n2,uninf
Op_n2_2_1.fq.gz,n2,uninf
Op_n2_3_1.fq.gz,n2,uninf
Op_n2_4_1.fq.gz,n2,uninf
Op_n2_5_1.fq.gz,n2,uninf
Vb_803_1_1.fq.gz,g,inf
Vb_803_2_1.fq.gz,g,inf
Vb_803_3_1.fq.gz,g,inf
Vb_803_4_1.fq.gz,g,inf
Vb_803_5_1.fq.gz,g,inf
Vb_n2_1_1.fq.gz,n2,inf
Vb_n2_2_1.fq.gz,n2,inf
Vb_n2_3_1.fq.gz,n2,inf
Vb_n2_4_1.fq.gz,n2,inf
Vb_n2_5_1.fq.gz,n2,inf
